,day,temp,desc
0,11月4日,14~24℃,多云
1,11月5日,13~23℃,多云
2,11月6日,13~19℃,小雨转阴
3,11月7日,13~23℃,多云
4,11月8日,12~24℃,多云
5,11月9日,12~24℃,多云
6,11月10日,12~24℃,晴
7,11月11日,12~25℃,晴
8,11月12日,16~27℃,多云转阴
9,11月13日,13~22℃,阴转雨
10,11月14日,11~20℃,多云转雨
11,11月15日,12~16℃,多云转雨
12,11月16日,12~18℃,雨
13,11月17日,11~18℃,雨
14,11月18日,12~16℃,雨
15,11月19日,12~17℃,雨
16,11月20日,12~15℃,多云
17,11月21日,11~14℃,多云
18,11月22日,10~14℃,多云
19,11月23日,10~14℃,小雨
20,11月24日,11~14℃,多云
21,11月25日,11~14℃,多云
22,11月26日,11~14℃,多云
23,11月27日,11~13℃,多云
24,11月28日,11~14℃,多云
25,11月29日,11~13℃,多云
26,11月30日,10~13℃,多云
27,12月1日,10~13℃,多云
28,12月2日,10~12℃,多云
29,12月3日,10~13℃,多云
